score,category,uid,gender,age,text
5,Car Rental,899881,F,50,"Prices change daily and if you want to really research the price continually at many different sites , I have found cheaper cars elsewhere . However , if you don ' t have a lot of time to research the price , this site has always been among the top three ( e . g ., cheapest ) of the ten sites I use to reserve a car ."
5,Fitness & Nutrition,828184,M,32,and the fact that they will match other companies is awesome !!
5,Electronic Payment,1698375,M,48,Used Paypal for my buying and selling for the past 0 years and never had an issue they didn ' t resolve to my satisfaction .
5,Gaming,3324079,M,29,"I ' ve made two purchases on CJ ' s for Fallout : New Vegas and The Elder Scrolls V : Skyrim . I have been satisfied by both , being extremely cheaper than the Steam versions . The Autokey system that CJ ' s uses is genius . I recommend this site to anyone who is a PC gamer !"
4,Jewelry,719816,F,29,"I was very happy with the diamond that I ordered . As soon as the funds were confirmed ( wire transfer ), the friendly staff worked to meet my needs and made sure that I received my product in time by allowing for Sat shipping . The reason why I didn ' t give them 0 stars , even though they could have earned it , is because of the delayed time it took to confirm the wire transfer . ... if paying with a wire transfer , make sure to follow up with Brilliance because my wire transfer had an error due to their bank . Even though the funds had posted on tues , they were not able to verify it . I wired it on Monday and received the item Saturday , paid $ 00 extra for Sat delivery to ensure delivery . Just follow up with them right away and you will be fine ! Overall , I was very please with my experience and I love the diamond I found on their website ! Def would recommend and will buy again from Brilliance !"
5,Security Equipment,5630105,F,66,"I signed up with front point security 0 months ago , and this company is great ! However , the customer service support staff are professional . Also , the online reviews were helpful during the decision making process ."
5,Electronics,6929926,M,69,"First off I usually never get extended warranties but when I purchased a Hisense TV from Tiger Direct something told me to get the warranty and would you believe one month after the warranty expired the TV started to act up shuting off and on , I called square trade and spoke to a fine gentleman who seemed to know the problem right off , he over nighted the parts and set up a TV repair man in my area to come to my house to fix it , which he did in about an hour and so far I ' m a happy man . Square Trade Rules"
5,Gaming,2364273,M,20,"The games come , no worries , they are reputable ."
1,Media & Marketing,2561769,F,32,We worked hard to send out email invitations for our customers past and present to leave reviews about their experience with us . TrustPilot then called us to sign up for their paid service and we declined because we used another review company at the present . 0 week later .. the handful of reviews we had on TrustPilot were all taken down .
4,Shoes,2561769,F,32,I am in love with all the free movies and shows you get as an Amazon Prime customer in addition to the shipping savings . I have had a couple issues with their customer service but in all not enough to be terribly upsetting .
1,Fashion Accessories,1151566,F,49,"I ordered two pieces for a halloween party in sept . 0 weeks later I called about my order and was assured it would be here by or on the 00st . With Halloween being on a Monday I explained that the costume was for parties and not trick or treating and I ordered early enough not to have to worry . I was told one piece was on back order and would be sent out as soon as it came in . One week before Halloween , I emailed ami that I no longer wanted the order . 0 days later they replied that i piece was shipped and the other piece was refunded . When I received the one piece in the mail ( on the 00st ) it was nothing like the picture . So I used their return label and sent it back to them . I got it back with a standard form as to why they would not except the return . The form had several reasons listed , but none were checked . Instead they hand wrote at the bottom that I didn ' t have some sort of return # that is required ??? After several emails and 0 phone calls I finally spoke with a manager . Just to be blown off and told I was not getting my money back . Thats when I disputed the charge with my credit card . Mid Dec . the charge was returned to my account and the dispute was finalized , or so I thought . The rest you can call coincidence if you want but on Christmas Eve , less then 0 weeks after the dispute was final and the first tim eI used my card since Sept , my card was declined for a purchase . When I called they told my there were some questionable online charges that same day that were not mine , so they voided my card and are sending me a new card with a new number . Since I rarely use that card it was easy to who might have had access to my information . Of course I can ' t prove who did it and the attempted charges totaled less then 00 dollars , it seems like a feeble attempt done just to mess with me . I am also very confident that this review will get a response from ami a lot faster then any of my complaints that went directly to them ."
5,Fashion Accessories,6169156,F,28,"Everything about this site is pleasing , from the selection and quality of the clothes , to the organized and easy - to - use website . I can browse for exactly what I need when I need it and even usually get a great deal or find something on sale that ships super quickly , or I can shop around and find something I absolutely love for a great price . I can ' t get enough of this site !"
5,Electronics,7024007,F,55,"As soon as you make your claim , they are on it . They send your label , and off the package goes ."
5,Fitness & Nutrition,581168,M,28,"Excellent service , I have only found a cheaper price elsewhere once , and I used there low price guarantee and they beat it ! Don ' t shop anywhere else tons of free stuff too !"
5,Review Sites,4790738,F,65,I always appreciate a dealer that takes the time and effort to describe an item with accuracy .
4,Fitness & Nutrition,1439642,M,28,I ' ve used Supplement Warehouse several times in the past and have always been pleased with their products and service . Doesn ' t hurt that they offer so much free stuff either !
5,Fitness & Nutrition,929946,F,49,Prices are way better than GNC even with shipping included .
5,Online Marketplace,4428594,M,26,the service was 0nd to non and the fact that you can use PayPal made it a great all round shopping experience
5,Flights,2282006,F,38,We ' ve used Priceline probably 0 times for hotel stays .... we decided to use it for a car rental on our Hawaii vacation .... it was easy and saved us over 0 / 0 from the other deals I could find on the internet . We would use it again for a car rental for sure .
5,Contact Lenses,3711500,F,39,"I have used the website twice now to order my contacts . The prices are so much better than any other website I visited and any high street retailer . I ' ve never used this so far , but it ' s good to know the service is there just in case ."
5,Online Marketplace,3956223,M,59,when i buy something from lightinthebox i always get them in time and always satisfied .
5,Gaming,2959406,F,51,"Purchased 00 days WoW gametime , received my code instantly after verifying my details and entering my SMS security code ."
4,Jewelry,3492551,M,33,"No hassle easy way to buy a diamond if you do your homework first . Only problem was a prong holding the diamond was slightly bent , easy fix but had me worried ."
5,Gaming,1407823,M,28,"fantastic website , i ' ve bought 0 games from them and their service is prompt and reliable ."
5,Bedroom,3616543,M,20,In my opinion the shop was very nice and clean . The manager helped us very much and was very kind and peaceful . Paul found us the perfect futon and worked with us ALOT . I now have no regrets about going out and finding the futon shop !!!!!
1,Fashion Accessories,2629968,F,27,"Since August 0000 i bought 0 bags for 0 . 000 €, which they never sent !! I tried to contact them by email , they took so long to reply , and only to tell me they were available and going to send them . so i waited … After a long while , i decided to cancel my orders and pick some other bags instead . I did this 0 times from August 0000 to now , mid - february 0000 , more than 0 months !!!!!! And i ' m a good client , I spent more than 00 . 000 € in a year and they sent me most of what i ordered , even if it took 0 months for some ! But since August , whenever i sent them emails , when they replied ( half of my messages were never answered ), they gave me partial answers . On the 00 / 0000 i asked them to send me the bags or let me choose some others instead . They told me they cancelled the orders so i could pick something else . They didn ' t reply until the 00 / 00 to tell me they would check again . But i got sick of waiting so i asked my boyfriend , who is Italian , to have a look , as his father is a police officer and he knows people in Italy that could help me , so he called some governmental office to ask them about Fashionqueen . net , and guess what ?! It is not registered , the P . IVA IT00000000000 doesn ' t exist ! My boyfriend wrote an email to fashionqueen to ask them to send me the bags and reply to the many emails i sent them , otherwise he would sue them in order to get a refund . We are regret to inform you that the company who manage the domain name FashionQueen . net was declared in bankrupt from the Verona Court – with sentence 000 - 0000 dated 00 Dicember 0000 . In the way to subscribe you creditor in the passive of the company you must register your self into the Bankrupt procedure . The Bankrupt agency that is following the procedure is : You can contact the Studio by Email at info @ studiogronich . com or you can Email directly to Bankrupt government Email : fallimento000 - 0000 @ pec . it For any information you need to contact details we Email you . Follow my advice and NEVER BUY from Fashionqueen . net , you will loose your money and they will never send you anything !! They are in bankruptcy but th website still works , you can still buy from them , how is this possible ??? That ' s what i asked them on the 00 / 00 / 00 and i ' m waiting for an answer … I will let you know as soon as i have some more info ! I will sue them and call the Italian authorities + i already have a lawyer there … Let ' s see ..."
5,Fitness & Nutrition,828951,F,38,Using the 0 % off price match tool is addictive !
5,Skincare,7933092,F,32,I cannot do without my EltaMD UV SPF 00 Tinted moisturizer . It is one of the only tinted moisturizers that does not break me out on a hot day . Best part is the ordering is a piece of cake . No hassle and my product is here before I run out of my last one !
4,Fitness & Nutrition,939767,M,68,"Easy to navigate the website , and lots of free stuff . Shipping is a little pricey but the product prices are excellent ."
2,Fashion Accessories,1342209,F,23,"For those of you who have had bad experience with this company , I suggest you try gojane . They have all the same stuff for cheaper , and it ' s legit . I know because I ' ve shopped there for over a year now and even when I was stationed overseas in Europe , my packages always arrived within at least three days , 0 days max . I was literally one click away from loosing $ 000 ."
5,Tires,1391382,F,32,"No confusing jargon , straight forward and very reasonable prices ."
5,Fitness & Nutrition,715099,M,46,"Great prices on high quality products makes Supplement Warehouse a leader in the business . The great prices at Supplement Warehouse allow me to make excellent gains in the gym on a shoestring budget . I ' m speding 00 % less on supplements than I was at GNC "" with the 00 % gold card discount "". On my last order , I purchased $ 000 . 00 worth of supplements for $ 000 . 00 plus $ 0 . 00 shipping , for a total of $ 000 . 00 . Extra money in my pocket and an outstanding physique under my shirt ......... It makes good sense !!"
5,Supermarket,3937989,F,37,"I have recently started using Enliven Coconut Body Butter . I purchased this product because I had recently read about how good coconut is for the skin , and for a while I had been looking for a natural coconut moisturiser which was not tested on animals and which did not contain too many added chemicals or artificial ingredients . The Enliven body butter was the only product I could find which met all my criteria and it was really good value too - much cheaper than similar products . I have now been using it for about a week and it is a beautiful product . It smells great and it glides onto my skin , leaving it silky smooth . I love this product , shall continue to use it and recommend it to all ."
5,Flights,2284663,F,47,The greatt deals obtained through Priceline are literally what have kept me from absolute homelessness . I lost my job in October 0000 and am able to survive this way as rents any other way are too high .
